file,type,extra,protocol,mode,min,max,delta,dur,bath,da,comment
18613054.abf,ic,0,hunt,continuous,,,,,hidi,pre,
18614004.abf,vc,0,calibrate,episodic,,,,,hidi,pre,
18614005.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,pre,
18614006.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,pre,
18614007.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,pre,
18614008.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,pre,
18614009.abf,vc,0,ramps,episodic,-130,-30,-200,2000,hidi,pre,
18614010.abf,vc,0,ramps,episodic,-130,-30,-200,2000,hidi,pre,
18614011.abf,vc,0,ramps,episodic,-130,-30,-200,2000,hidi,pre,
18614012.abf,ic,0,dose,continuous,,,,,hidi,post,
18614013.abf,ic,0,balance,continuous,,,,,hidi,post,
18614014.abf,vc,0,calibrate,episodic,,,,,hidi,post,
18614017.abf,vc,0,steps,episodic,-110,30,10,500,hidi,post,
18614018.abf,vc,0,steps,episodic,-110,10,10,500,hidi,post,
18614019.abf,vc,0,steps,episodic,-110,10,10,500,hidi,post,
18614020.abf,vc,0,steps,episodic,-110,10,10,500,hidi,post,
18614021.abf,vc,0,steps,episodic,-110,10,10,500,hidi,post,
18614022.abf,vc,0,ramps,episodic,-110,-40,-200,2000,hidi,post,
18614024.abf,vc,0,ramps,episodic,-130,-20,-200,2000,hidi,post,
18614025.abf,vc,0,ramps,episodic,-130,-20,-200,2000,hidi,post,
18614026.abf,vc,0,ramps,episodic,-130,-20,-200,2000,hidi,post,
18614028.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,post,
18614029.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,post,
18614030.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,post,
18614031.abf,vc,0,steps,episodic,-130,-10,10,500,hidi,post,
